id;nouvelle_commune;communes_fusionnees;annee_effet
1;Chantepérier;Chantelouve;2019
2;Le Haut-Bréda;La Ferrière;2019
3;Plateau-des-Petites-Roches;Saint-Hilaire;2019
4;Porte-des-Bonnevaux;Semons;2019
5;Val-de-Virieu;Virieu;2019
6;Ornacieux-Balbins;Ornacieux;2019
7;Châtel-en-Trièves;Saint-Sébastien;2017
8;Les Deux Alpes;Mont-de-Lans;2017
9;La Sure en Chartreuse;Saint-Julien-de-Ratz;2017
10;Arandon-Passins;Passins;2017
11;Villages du Lac de Paladru;Paladru;2017
12;Les Abrets en Dauphiné;Les Abrets;2016
13;Les Avenières Veyrins-Thuellin;Les Avenières;2016
14;Autrans-Méaudre en Vercors;Méaudre;2016
15;Crêts en Belledonne;Saint-Pierre-d'Allevard;2016
16;Saint Antoine l'Abbaye;Saint-Antoine-l'Abbaye;2016
17;Eclose-Badinières;Eclose;2015
18;Creys-Mépieu;Creys-et-Pusignieu;1989
19;Saint-Vincent-de-Mercuze-Sainte-Marie-du-Mont;Saint-Vincent-de-Mercuze;1973
20;Veyrins-Thuellin;Veyrins;1973
21;Vézeronce-Curtin;Vézeronce;1973
22;Mens;Mens;1973
23;Ruy[Note 5];Ruy;1973
24;Bourgoin-Jallieu;Bourgoin;2]
25;Mayres-Savel;Mayres;2]
26;Le Pont-de-Beauvoisin;Le Pont-de-Beauvoisin;2]
27;Charvieu-Chavagneux;Charvieu;2]
28;Varces-Allières-et-Risset;Varces;2]
